,open,high,low,close,volume,value
2018-04-18 07:00:00+00:00,0.2514528,0.25163636,0.2462062,0.248,1020454.74420455,254526.00362226
2018-04-18 08:00:00+00:00,0.248,0.248,0.24155,0.24156011,694740.7448808,169025.44634504
2018-04-18 09:00:00+00:00,0.242,0.25196003,0.241412,0.25,491460.69418001,121583.18701251
2018-04-18 10:00:00+00:00,0.25,0.25196436,0.246,0.24710302,510035.06233713,126793.24741558
2018-04-18 11:00:00+00:00,0.2473012,0.25099746,0.2473012,0.24813096,164169.96067218,41027.20269129
2018-04-18 12:00:00+00:00,0.24813068,0.249,0.2475,0.248,105470.72826576,26157.74721565
2018-04-18 13:00:00+00:00,0.248,0.248,0.2440735,0.244894,284916.36799043,70137.21002213
2018-04-18 14:00:00+00:00,0.2453,0.2479991,0.244,0.246,299511.0913703,73709.24152299
2018-04-18 15:00:00+00:00,0.246,0.25251002,0.2441,0.2522575,729014.45781423,181292.54272419
2018-04-18 16:00:00+00:00,0.2522575,0.2539,0.2503725,0.25091016,802576.03515759,202395.96344918
2018-04-18 17:00:00+00:00,0.25091016,0.2529,0.25040751,0.252198,129734.2148445,32557.26642043
2018-04-18 18:00:00+00:00,0.2505002,0.25219751,0.24940751,0.2495,185740.8794999,46540.46236773
2018-04-18 19:00:00+00:00,0.25197887,0.25199935,0.24680016,0.248,284456.50418073,71016.52488729
2018-04-18 20:00:00+00:00,0.248,0.252,0.24638255,0.25099999,269355.90030636,67170.37440998
2018-04-18 21:00:00+00:00,0.25099999,0.2522,0.25099999,0.25218974,381355.5592009,96005.1707317
2018-04-18 22:00:00+00:00,0.25218973,0.2541,0.2496,0.2519748,525696.81894785,132302.39175968
2018-04-18 23:00:00+00:00,0.251,0.255999,0.25,0.25,451910.04176266,114510.28005788
2018-04-19 00:00:00+00:00,0.25,0.25080688,0.2485,0.25,560038.74838439,139711.57520408
2018-04-19 01:00:00+00:00,0.25,0.25500104,0.2498,0.252,265512.51434113,66629.1806783
2018-04-19 02:00:00+00:00,0.2525,0.255,0.25141701,0.25380002,296223.33977027,75227.17283285
2018-04-19 03:00:00+00:00,0.25380002,0.2549998,0.25201066,0.25360001,206859.33162174,52438.29648675
2018-04-19 04:00:00+00:00,0.25360001,0.26,0.25360001,0.25899978,667871.6847955,171498.23444609
2018-04-19 05:00:00+00:00,0.25634977,0.25963586,0.256,0.25963585,222910.1499407,57713.10557878
2018-04-19 06:00:00+00:00,0.25963585,0.26213998,0.25800101,0.26050501,484228.67897146,125774.30011907
2018-04-19 07:00:00+00:00,0.262,0.263658,0.260505,0.26050513,476539.32003337,124827.87668021
