,open,high,low,close,volume,value
2018-12-22 04:00:00+00:00,108.62453285,109.64784408,106.54753423,106.6,376.5445626,40589.44175247
2018-12-22 05:00:00+00:00,106.76000003,107.53,104.8,105.9,350.25036866,37220.2271205
2018-12-22 06:00:00+00:00,106.12,108.56,105.5,108.03999999,276.85926818,29621.11023263
2018-12-22 07:00:00+00:00,108.223668,108.223668,106.9217152,107.07000004,56.66562995,6070.16609081
2018-12-22 08:00:00+00:00,107.07,108.07,106.86,108.004,43.78821427,4720.23402434
2018-12-22 09:00:00+00:00,107.59,108.93,107.59,108.12,211.28307204,22893.9428018
2018-12-22 10:00:00+00:00,107.44,107.81,106.49,106.66,214.42274316,22996.73967341
2018-12-22 11:00:00+00:00,106.98,107.40000007,106.03,107.40000007,100.67043073,10732.88485536
2018-12-22 12:00:00+00:00,107.17,107.59,106.74,106.77,31.11305525,3327.73882547
2018-12-22 13:00:00+00:00,106.92,106.95,106.0,106.38,99.92245448,10631.78650541
2018-12-22 14:00:00+00:00,106.0,106.76,105.62,106.76,131.72648388,13923.79572375
2018-12-22 15:00:00+00:00,106.68000009,107.79999997,106.68000009,107.47,51.43172031,5527.52608186
2018-12-22 16:00:00+00:00,107.16,107.89,106.9,107.89,53.66655604,5757.39712024
2018-12-22 17:00:00+00:00,107.66999995,108.23,107.03771033,107.35999997,38.99494343,4200.54294564
2018-12-22 18:00:00+00:00,107.925202,113.35,107.92,113.2,373.72737487,41771.35551044
2018-12-22 19:00:00+00:00,113.27,113.28,111.18344416,111.18344416,55.93456147,6288.57632938
2018-12-22 20:00:00+00:00,111.47,111.47,109.845,111.00999999,957.58430958,105517.37064541
2018-12-22 21:00:00+00:00,111.15999999,111.35999999,109.15,109.54,495.73787359,55066.36161755
2018-12-22 22:00:00+00:00,109.28,111.29664001,109.28,110.0,195.94189991,21654.51953615
2018-12-22 23:00:00+00:00,110.0,111.0,108.95,110.49,82.61727219,9031.37490105
2018-12-23 00:00:00+00:00,110.32,111.60999999,109.7,111.12,96.00720734,10595.78021536
